mid,sid,node_i,node_j,utterance,uid
0388,0388_000,0388_016,0388_025,(nodding sympathetically) Maybe after the holidays then.,0388_0006
0388,0388_000,0388_022,0388_025,"Oh, hi.(apologetically) Hi, I was in the neighborhood and thought I'd see --I think he's in a conference. Unfortunately. I'm really sorry.Would you just try him? You never know. As long as I'm here. You never know.Of course. Please have a seat. (quietly into headset) It's her -- I know, but couldn't you just -- Yes, I know, but -- I know, but she's old and it would be a nice -- Yes, sorry.This book -- It's essential that people read it because -- (gravely, patting the manuscript)","0388_0000,0388_0001,0388_0002,0388_0003,0388_0004,0388_0005"
0388,0388_003,0388_004,0388_016,"May I help you?(approaching reception area) Yeah, hi, I have a one o'clock with Dr. Mierzwiak. Clementine Kruczynski.","0388_0007,0388_0008"
0388,0388_003,0388_016,0388_017,"Yes, please have a seat. He'll be right with you.",0388_0009
0388,0388_004,0388_004,0388_016,"I better do this, Stan. Ms. Kruczynski?Hi.(professionally courteous) How are you today?Okay, I guess.","0388_0029,0388_0030,0388_0031,0388_0032"
0388,0388_004,0388_016,0388_017,"Yes?Howard, your one o'clock.(not looking up) Thanks, Mary. You can bring her in. (looking up) Mary...(turning back) Yes?Order me a pastrami for after?Cole slaw, ice tea?(nodding) Thanks.(at Mierzwiak's office) Here we are.","0388_0010,0388_0011,0388_0012,0388_0013,0388_0014,0388_0015,0388_0016,0388_0033"
0388,0388_004,0388_016,0388_030,"Welcome, Howard.Boo.Hi.Barely seen you all morning, kiddo.(reprimanding whisper) Stan... c'mon...Sorry. I just --(somewhat guiltilly) It's just...y'know... I mean...I know. Anyway --Anyway, I've got to do my tap dance here.See you later, alligator.'kay.Hey, if you're ordering lunch for Mierzwiak, would you --","0388_0017,0388_0018,0388_0019,0388_0020,0388_0021,0388_0022,0388_0023,0388_0024,0388_0025,0388_0026,0388_0027,0388_0028"
0388,0388_004,0388_017,0388_017,"Ms. Kruczynski, please come in.",0388_0034
0388,0388_005,0388_004,0388_017,"How are you today?Okay, I guess.(nodding sympathetically) Well, why don't you tell me what's going on? Do you mind if I turn this on?I don't care. Well, I've been having a bad time of it with um, my boyfriend, I guess.You guess he's your boyfriend? Or you guess you're having a bad time with hm?What? No. I don't like the term boyfriend. It's so gay. Maybe gay isn't the right word. But, anyway, it's been rough with him... whatever the fuck he is. Heheh. My significant other... heh heh. And I guess on a certain level, I want to break it off, but I feel... y'know... it's like this constant questioning and re questioning. Do I end it? Should I give it more time? I'm not happy, but what do I expect? Relationships require work. You know the drill. The thing that I keep coming back to is, I'm not getting any younger, I want to have a baby... at some point... maybe... right? So then I think I should settle -- which is not necessarily the best word -- I mean, he's a good guy. It's not really settling. Then I think maybe I'm just a victim of movies, y'know? That I have some completely unrealistic notion of what a relationship can be. But then I think, no, this is what I really want, so I should allow myself the freedom to go out and fucking find it. You know? Agreed? But then I think he is a good guy and... It's complicated. Y'know?I think I know. I think we can help. Why don't you start by telling me about your relationship. Everything you can think of. Everything about him. Everything about you. And we'll take it from there.","0388_0035,0388_0036,0388_0037,0388_0038,0388_0039,0388_0040,0388_0041"
0388,0388_005,0388_004,0388_011,"Um, well, he's a fucking tidy one --",0388_0042
0388,0388_007,0388_011,0388_011,"Hi, Cindy. Joel. Listen, I'm not feeling well this morning. No. Food poisoning, I think. Sorry it took me so long to call in, but I've been vomiting.",0388_0043
0388,0388_008,0388_011,0388_032,"January 13th, 2006. Today I skipped work and took the train out to Montauk.",0388_0044
0388,0388_009,0388_004,0388_004,"(calling) And some cream, please.",0388_0050
0388,0388_009,0388_004,0388_032,"Coffee?God, yes. You've saved my life!You know what you want yet?(laughing) Ain't that the question of the century. You got grilled cheese and tomato soup?Yeah. We're having a run on it.","0388_0045,0388_0046,0388_0047,0388_0048,0388_0049"
0388,0388_012,0388_004,0388_004,"I just don't think ""nice"" is a particularly interesting thing to be.Shit. Shit. I know it's here. Hold on. Damn it. DAMN IT!","0388_0113,0388_0117"
